Session Information:,,,,Device Information:,,,,Oarlock Information:,,,,Oarlock Settings:

Name:,JustGo-11432M,,,Name:,Tom's Speedcoach,,,Firmware:,---,,,Boat ID:,---
Start Time:,11/18/2023 10:40,,,Model:,SpeedCoach GPS Pro,,,,,,,Seat Number:,---
Type:,Just Go,,,Serial:,2268560,,,,,,,Port Starboard:,---
System of Units:,Meters/Split500,,,Firmware Version:,2.22,,,,,,,Oar Length:,---
Speed Input:,GPS,,,Profile Version:,0.03,,,,,,,Inboard Length:,---
,,,,Hardware Version:,Rev 11,,,,,,,,
,,,,LiNK Version:,2.1.68,,,,,,,,


Session Summary:

Total Intervals,Total Distance (GPS),Total Distance (IMP),Total Elapsed Time,Avg Split (GPS),Avg Speed (GPS),Avg Split (IMP),Avg Speed (IMP),Avg Stroke Rate,Total Strokes,Distance/Stroke (GPS),Distance/Stroke (IMP),Avg Heart Rate,Avg Power,Avg Catch,Avg Slip,Avg Finish,Avg Wash,Avg Force Avg,Avg Work,Avg Force Max,Avg Max Force Angle,Start GPS Lat.,Start GPS Lon.
(Interval),(Meters),(Meters),(HH:MM:SS.tenths),(/500),(M/S),(/500),(M/S),(SPM),(Strokes),(Meters),(Meters),(BPM),(Watts),(Degrees),(Degrees),(Degrees),(Degrees),(Newtons),(Joules),(Newtons),(Degrees),(Degrees),(Degrees)
1,11432.1,0.0,00:48:54.8,00:02:08.5,3.89,00:00:00.0,0.00,24.0,1077,10.6,0.0,---,---,---,---,---,---,---,---,---,---,52.2200048,0.1556811


Interval Summaries:

Interval,Total Distance (GPS),Total Distance (IMP),Total Elapsed Time,Avg Split (GPS),Avg Speed (GPS),Avg Split (IMP),Avg Speed (IMP),Avg Stroke Rate,Total Strokes,Distance/Stroke (GPS),Distance/Stroke (IMP),Avg Heart Rate,Avg Power,Avg Catch,Avg Slip,Avg Finish,Avg Wash,Avg Force Avg,Avg Work,Avg Force Max,Avg Max Force Angle,Start GPS Lat.,Start GPS Lon.
(Interval),(Meters),(Meters),(HH:MM:SS.tenths),(/500),(M/S),(/500),(M/S),(SPM),(Strokes),(Meters),(Meters),(BPM),(Watts),(Degrees),(Degrees),(Degrees),(Degrees),(Newtons),(Joules),(Newtons),(Degrees),(Degrees),(Degrees)
1,11432.1,0.0,00:48:54.8,00:02:08.5,3.89,00:00:00.0,0.00,24.0,1077,10.6,0.0,---,---,---,---,---,---,---,---,---,---,52.2200048,0.1556811



Per-Stroke Data:

Interval,Distance (GPS),Distance (IMP),Elapsed Time,Split (GPS),Speed (GPS),Split (IMP),Speed (IMP),Stroke Rate,Total Strokes,Distance/Stroke (GPS),Distance/Stroke (IMP),Heart Rate,Power,Catch,Slip,Finish,Wash,Force Avg,Work,Force Max,Max Force Angle,GPS Lat.,GPS Lon.
(Interval),(Meters),(Meters),(HH:MM:SS.tenths),(/500),(M/S),(/500),(M/S),(SPM),(Strokes),(Meters),(Meters),(BPM),(Watts),(Degrees),(Degrees),(Degrees),(Degrees),(Newtons),(Joules),(Newtons),(Degrees),(Degrees),(Degrees)
1,11.1,0.0,00:00:03.4,00:05:04.9,1.64,00:00:00.0,0.00,18.0,1,11.1,0.0,---,---,---,---,---,---,---,---,---,---,52.2200048,0.1556811
1,20.7,0.0,00:00:06.8,00:02:42.3,3.08,00:00:00.0,0.00,17.5,2,9.7,0.0,---,---,---,---,---,---,---,---,---,---,52.2199925,0.1558214
1,30.2,0.0,00:00:09.7,00:02:47.8,2.98,00:00:00.0,0.00,19.0,3,9.5,0.0,---,---,---,---,---,---,---,---,---,---,52.2200000,0.1559599
1,39.9,0.0,00:00:13.0,00:02:39.2,3.14,00:00:00.0,0.00,18.5,4,9.7,0.0,---,---,---,---,---,---,---,---,---,---,52.2200116,0.1561006
1,48.6,0.0,00:00:16.1,00:02:41.8,3.09,00:00:00.0,0.00,19.0,5,8.8,0.0,---,---,---,---,---,---,---,---,---,---,52.2200022,0.1562282
1,55.9,0.0,00:00:19.3,00:03:16.1,2.55,00:00:00.0,0.00,19.5,6,7.3,0.0,---,---,---,---,---,---,---,---,---,---,52.2200146,0.1563346
1,66.4,0.0,00:00:22.6,00:03:22.4,2.47,00:00:00.0,0.00,19.0,7,10.5,0.0,---,---,---,---,---,---,---,---,---,---,52.2200273,0.1564852
1,80.4,0.0,00:00:25.6,00:02:41.3,3.10,00:00:00.0,0.00,19.5,8,14.0,0.0,---,---,---,---,---,---,---,---,---,---,52.2200563,0.1566868
1,94.0,0.0,00:00:28.8,00:02:24.5,3.46,00:00:00.0,0.00,19.0,9,13.5,0.0,---,---,---,---,---,---,---,---,---,---,52.2200787,0.1568821
1,109.4,0.0,00:00:31.9,00:02:10.9,3.82,00:00:00.0,0.00,19.5,10,15.4,0.0,---,---,---,---,---,---,---,---,---,---,52.2201094,0.1571027
1,123.5,0.0,00:00:34.9,00:02:01.4,4.12,00:00:00.0,0.00,20.0,11,14.1,0.0,---,---,---,---,---,---,---,---,---,---,52.2201409,0.1573027
1,137.5,0.0,00:00:38.0,00:01:59.6,4.18,00:00:00.0,0.00,19.5,12,14.0,0.0,---,---,---,---,---,---,---,---,---,---,52.2201681,0.1575037
1,151.4,0.0,00:00:41.1,00:01:59.0,4.20,00:00:00.0,0.00,19.5,13,13.9,0.0,---,---,---,---,---,---,---,---,---,---,52.2201921,0.1577039
1,164.7,0.0,00:00:44.2,00:01:58.8,4.21,00:00:00.0,0.00,20.0,14,13.3,0.0,---,---,---,---,---,---,---,---,---,---,52.2202082,0.1578971
1,177.9,0.0,00:00:47.2,00:01:58.2,4.23,00:00:00.0,0.00,19.5,15,13.2,0.0,---,---,---,---,---,---,---,---,---,---,52.2202288,0.1580877
1,191.7,0.0,00:00:50.6,00:01:57.6,4.25,00:00:00.0,0.00,19.5,16,13.8,0.0,---,---,---,---,---,---,---,---,---,---,52.2202484,0.1582878
1,205.1,0.0,00:00:53.6,00:01:57.9,4.24,00:00:00.0,0.00,20.0,17,13.4,0.0,---,---,---,---,---,---,---,---,---,---,52.2202747,0.1584790
1,218.3,0.0,00:00:56.6,00:01:58.5,4.22,00:00:00.0,0.00,19.0,18,13.2,0.0,---,---,---,---,---,---,---,---,---,---,52.2203065,0.1586656
1,232.2,0.0,00:00:59.7,00:01:58.2,4.23,00:00:00.0,0.00,19.0,19,13.9,0.0,---,---,---,---,---,---,---,---,---,---,52.2203474,0.1588581
1,245.4,0.0,00:01:02.7,00:01:57.4,4.26,00:00:00.0,0.00,19.5,20,13.2,0.0,---,---,---,---,---,---,---,---,---,---,52.2203845,0.1590410
1,260.0,0.0,00:01:06.0,00:01:56.3,4.30,00:00:00.0,0.00,19.0,21,14.6,0.0,---,---,---,---,---,---,---,---,---,---,52.2204224,0.1592465
1,274.2,0.0,00:01:09.4,00:01:58.2,4.23,00:00:00.0,0.00,18.5,22,14.2,0.0,---,---,---,---,---,---,---,---,---,---,52.2204593,0.1594450
1,287.6,0.0,00:01:12.5,00:02:01.7,4.11,00:00:00.0,0.00,18.5,23,13.4,0.0,---,---,---,---,---,---,---,---,---,---,52.2204912,0.1596345
1,300.5,0.0,00:01:15.6,00:02:01.7,4.11,00:00:00.0,0.00,19.0,24,12.9,0.0,---,---,---,---,---,---,---,---,---,---,52.2205243,0.1598166
1,315.4,0.0,00:01:18.9,00:01:58.8,4.21,00:00:00.0,0.00,18.5,25,14.9,0.0,---,---,---,---,---,---,---,---,---,---,52.2205607,0.1600272
1,328.9,0.0,00:01:22.2,00:01:58.5,4.22,00:00:00.0,0.00,19.0,26,13.4,0.0,---,---,---,---,---,---,---,---,---,---,52.2205944,0.1602168
1,342.2,0.0,00:01:25.4,00:02:01.1,4.13,00:00:00.0,0.00,18.5,27,13.3,0.0,---,---,---,---,---,---,---,---,---,---,52.2206306,0.1604020
1,355.7,0.0,00:01:28.5,00:02:01.1,4.13,00:00:00.0,0.00,19.0,28,13.5,0.0,---,---,---,---,---,---,---,---,---,---,52.2206738,0.1605878
1,369.4,0.0,00:01:31.8,00:01:59.0,4.20,00:00:00.0,0.00,19.0,29,13.7,0.0,---,---,---,---,---,---,---,---,---,---,52.2207225,0.1607719
1,382.8,0.0,00:01:35.0,00:01:59.9,4.17,00:00:00.0,0.00,19.0,30,13.5,0.0,---,---,---,---,---,---,---,---,---,---,52.2207740,0.1609504
1,396.1,0.0,00:01:38.2,00:02:02.8,4.07,00:00:00.0,0.00,19.0,31,13.2,0.0,---,---,---,---,---,---,---,---,---,---,52.2208246,0.1611261
1,408.6,0.0,00:01:41.2,00:02:02.8,4.07,00:00:00.0,0.00,19.0,32,12.5,0.0,---,---,---,---,---,---,---,---,---,---,52.2208706,0.1612937
1,422.5,0.0,00:01:44.6,00:02:00.8,4.14,00:00:00.0,0.00,18.5,33,13.9,0.0,---,---,---,---,---,---,---,---,---,---,52.2209202,0.1614804
1,435.2,0.0,00:01:47.6,00:01:59.0,4.20,00:00:00.0,0.00,19.0,34,12.7,0.0,---,---,---,---,---,---,---,---,---,---,52.2209632,0.1616528
1,449.2,0.0,00:01:50.8,00:01:58.8,4.21,00:00:00.0,0.00,18.5,35,14.0,0.0,---,---,---,---,---,---,---,---,---,---,52.2210113,0.1618421
1,462.6,0.0,00:01:54.0,00:01:57.6,4.25,00:00:00.0,0.00,19.0,36,13.4,0.0,---,---,---,---,---,---,---,---,---,---,52.2210631,0.1620204
1,477.1,0.0,00:01:57.4,00:01:56.6,4.29,00:00:00.0,0.00,19.0,37,14.5,0.0,---,---,---,---,---,---,---,---,---,---,52.2211207,0.1622108
1,490.2,0.0,00:02:00.6,00:01:58.2,4.23,00:00:00.0,0.00,18.5,38,13.1,0.0,---,---,---,---,---,---,---,---,---,---,52.2211760,0.1623799
